Date,All Grades (Average),Regular,Midgrade,Premium
Jan-1995,1.13,1.082,1.174,1.275
Feb-1995,1.12,1.073,1.165,1.265
Mar-1995,1.119,1.072,1.161,1.258
Apr-1995,1.157,1.111,1.199,1.295
May-1995,1.225,1.178,1.268,1.364
Jun-1995,1.239,1.192,1.283,1.379
Jul-1995,1.201,1.154,1.245,1.342
Aug-1995,1.17,1.123,1.213,1.311
Sep-1995,1.158,1.111,1.2,1.298
Oct-1995,1.134,1.087,1.175,1.273
Nov-1995,1.109,1.062,1.151,1.247
Dec-1995,1.118,1.071,1.161,1.255
Jan-1996,1.137,1.09,1.179,1.276
Feb-1996,1.136,1.089,1.179,1.274
Mar-1996,1.183,1.137,1.225,1.32
Apr-1996,1.275,1.231,1.316,1.411
May-1996,1.324,1.279,1.363,1.462
Jun-1996,1.3,1.256,1.338,1.437
Jul-1996,1.272,1.227,1.311,1.409
Aug-1996,1.251,1.207,1.29,1.386
Sep-1996,1.247,1.202,1.286,1.38
Oct-1996,1.249,1.204,1.29,1.384
Nov-1996,1.278,1.232,1.321,1.413
Dec-1996,1.282,1.235,1.326,1.418
Jan-1997,1.283,1.236,1.326,1.419
Feb-1997,1.276,1.23,1.318,1.413
Mar-1997,1.251,1.205,1.293,1.389
Apr-1997,1.244,1.199,1.284,1.381
May-1997,1.245,1.2,1.284,1.378
Jun-1997,1.242,1.198,1.282,1.373
Jul-1997,1.22,1.174,1.262,1.354
Aug-1997,1.268,1.224,1.307,1.401
Sep-1997,1.276,1.231,1.314,1.411
Oct-1997,1.242,1.197,1.281,1.379
Nov-1997,1.216,1.171,1.254,1.354
Dec-1997,1.177,1.131,1.216,1.316
Jan-1998,1.132,1.086,1.172,1.273
Feb-1998,1.096,1.049,1.138,1.237
Mar-1998,1.064,1.017,1.109,1.203
Apr-1998,1.077,1.03,1.12,1.216
May-1998,1.105,1.064,1.152,1.244
Jun-1998,1.103,1.064,1.155,1.241
Jul-1998,1.094,1.055,1.146,1.234
Aug-1998,1.065,1.026,1.119,1.207
Sep-1998,1.049,1.009,1.103,1.193
Oct-1998,1.059,1.019,1.113,1.204
Nov-1998,1.036,0.995,1.093,1.183
Dec-1998,0.987,0.945,1.046,1.137
Jan-1999,0.98,0.939,1.038,1.128
Feb-1999,0.962,0.921,1.02,1.112
Mar-1999,1.022,0.982,1.081,1.166
Apr-1999,1.171,1.131,1.23,1.31
May-1999,1.171,1.131,1.229,1.314
Jun-1999,1.154,1.114,1.211,1.297
Jul-1999,1.197,1.158,1.253,1.337
Aug-1999,1.26,1.221,1.317,1.401
Sep-1999,1.295,1.256,1.352,1.437
Oct-1999,1.285,1.244,1.343,1.431
Nov-1999,1.292,1.251,1.35,1.436
Dec-1999,1.313,1.273,1.37,1.458
Jan-2000,1.329,1.289,1.385,1.471
Feb-2000,1.415,1.377,1.468,1.552
Mar-2000,1.556,1.516,1.611,1.696
Apr-2000,1.506,1.465,1.564,1.651
May-2000,1.526,1.487,1.581,1.667
Jun-2000,1.666,1.633,1.709,1.789
